Review_ID,user,rating,comment,ID,name
0,Torsten,10,,30549,Pandemic
1,mitnachtKAUBO-I,10,"Hands down my favorite new game of BGG CON 2007.  We played it 5 times in a row -- it's just that good.  Too bad Pandemic won't be in stores until January of 2008.  If you like pure co̦p games (Lord of the Rings, Feurio, etc.), this should be right up your alley.  Having 5 roles to choose from gives the game some extra variability.  Also, once you get good you can ramp up the difficulty by adding more Epidemic cards.  9 -> 10",30549,Pandemic
2,avlawn,10,"I tend to either love or easily tire of co-op games.  Pandemic joins Knizia's LoTR as my favorite true co-op.  It edges LoTR out merely in time to set-up and play.  LoTR can be an undertaking to explain enough details so that players enjoy their first time through the game, while Pandemic is fast enough that even if the players don't quite get everything that is going on, they can try again immediately.",30549,Pandemic
3,Mike Mayer,10,,30549,Pandemic
4,Mease19,10,"This is an amazing co-op game.  I play mostly with my wife and this is a game that I can't really imagine getting tired of.  Win or lose, I usually want to play again immediately.  On the Brink and the fan-made expansion from on ArtsCow add much more variety and good game play, only enhancing an already great game.",30549,Pandemic
5,cfarrell,10,"Hey! I can finally rate this game I've been playtesting on and off for a couple years. I really like Pandemic, it's the best cooperative game I've played since Lord of the Rings. The key is in the pacing; the game successfully ratchets up the tension as infections spread and outbreaks pop up all over the place, and the players fight a race against time to conquer the various diseases. The game is just a perfect length, about 45 minutes, and the endgame tension is just right - the game doesn't end before it's over. The different roles give the players significantly different prisms through which to look at the game, which is helpful in cleanly driving table-talk and discussion without phony artificial restrictions like Shadows over Camelot had. All in all, this is finally another good cooperative game that gamers can enjoy. It's not as deep as Lord of the Rings, but it's also simpler and shorter and should be accessible to a wide variety of players.  Gamers should probably bypass the ""easy"" game and go straight to the standard game.  If you'd like to tweak the difficulty a little bit without going straight to Heroic level (which can be pretty tough) try starting the infection rate marker on the second or third space.",30549,Pandemic
6,katrinacarenne,10,,30549,Pandemic
7,DSpangler,10,,30549,Pandemic
8,gregd,10,Love it- great fun with my son. 2 plays so far and looking forward to more!,30549,Pandemic
9,calbearfan,10,"Fun, fun game. Strategy is required, but definitely accessible to non-gamers. Have played it 2 player with my 5 1/2 year old son (using 4 roles and open hands), and he thinks it is his favorite game now. Played it 3 player with my son and my 8 year old daughter, and it was great too. Also very much enjoyed a solitaire game playing 3 roles. This will definitely be one of the most played games for the next few months. I originally rated this a 9.5, but I can't figure out why I took off half a point.",30549,Pandemic
10,odustin,10,,30549,Pandemic
11,treece keenes,10,I don't know how they balanced this thing.  Absolutely amazing.  We have a ball finding new ways to look at this cooperative game that stands high above the rest.,30549,Pandemic
12,davecort,10,Best collaborative multi-player game out there. period.,30549,Pandemic
